1,1500.0,02/10/2020
2,1000.0,02/10/2020
3,1900.0,02/10/2020
4,2000.0,02/10/2020
5,500.0,02/10/2020
6,600.0,02/10/2020
7,800.0,02/10/2020
8,1300.0,02/10/2020
9,900.0,02/10/2020
10,300.0,02/10/2020
11,1100.0,02/10/2020
12,1700.0,02/10/2020
13,1400.0,02/10/2020
1,200.0,02/10/2020
1,200.0,02/10/2020
1,200.0,02/10/2020
1,200.0,02/10/2020
1,200.0,02/10/2020
2,2300.0,02/10/2020
3,2000.0,02/10/2020
6,700.0,02/10/2020
7,800.0,02/10/2020
9,8600.0,02/10/2020
10,1600.0,02/10/2020
11,910.0,02/10/2020
12,0.0,02/10/2020
13,330.0,04/10/2020
14,110.0,07/10/2020
14,110.0,07/10/2020
15,650.0,07/10/2020
16,260.0,07/10/2020
17,550.0,08/10/2020
18,1140.0,08/10/2020
20,870.0,08/10/2020
