1,pizza,2,200.0,2,02/10/2020
2,pizza,23,2300.0,6,02/10/2020
3,pizza,5,500.0,6,02/10/2020
3,pizza,8,800.0,3,02/10/2020
3,pizza,7,700.0,9,02/10/2020
6,pizza,7,700.0,0,02/10/2020
7,pizza,4,400.0,3A,02/10/2020
7,1,4,400.0,3A,02/10/2020
9,pizza,86,8600.0,2A,02/10/2020
10,pizza,16,1600.0,22,02/10/2020
11,Burger,7,910.0,23,02/10/2020
12,Burger,0,0.0,1,02/10/2020
13,pizza,3,330.0,3A,04/10/2020
14,pizza,1,110.0,1,07/10/2020
15,Burger,5,650.0,w2,07/10/2020
16,Burger,2,260.0,45,07/10/2020
17,pizza,5,550.0,3A,08/10/2020
18,Salad,2,140.0,10 ,08/10/2020
18,Pasta,5,1000.0,10,08/10/2020
20,pizza,5,600.0,3X,08/10/2020
20,khichuri,3,270.0,3X,08/10/2020
